"Customer name";"Media name";"Quantity";"Batch number";"Delivery date";"Media type";"Original ref";"Original quantity"
"Takeo";"Hektoen Enteric Agar";"20";"HE260820-01";"2020-09-24";"Plate";"";""
"Kampong Cham";"Blood Agar";"200";"BAP140920-01";"2020-09-24";"Plate";"";""
"Kampong Cham";"Chocolate Agar";"150";"CHOC090920-01";"2020-09-24";"Plate";"";""
"Kampong Cham";"Mueller Hinton II Agar ";"200";"MHII090920-01";"2020-09-24";"Plate";"";""
"Central Media Making Laboratory";"Blood Culture Bottle (child)";"35";"BHI P170720-01";"2020-09-24";"Child Bottle";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Agar";"100";"BAP220920-01";"2020-09-25";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Trypticase Soy Agar ";"63";"TSA280520-01";"2020-09-25";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Trypticase Soy Agar ";"37";"TSA290620-01";"2020-09-25";"Tube";"";""
"Battambang";"Blood Culture Bottle (adult)";"230";"BHI A150920-01";"2020-09-25";"Adult Bottle";"";""
"Battambang";"Blood Culture Bottle (adult)";"200";"BHI A150920-02";"2020-09-25";"Adult Bottle";"";""
"Battambang";"Blood Agar";"100";"BAP220920-01";"2020-09-25";"Plate";"";""
"Battambang";"Chocolate Agar";"190";"CHOC100920-01";"2020-09-25";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"50";"MHII090920-01";"2020-09-25";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"160";"MHII210920-01";"2020-09-25";"Plate";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"216";"BHI A110920-01";"2020-09-25";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"80";"BHI A040920-01";"2020-09-25";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"4";"BHI A080920-01";"2020-09-25";"Adult Bottle";"";""
"Siem Reap";"Blood Agar";"100";"BAP220920-01";"2020-09-25";"Plate";"";""
"Siem Reap";"Chocolate Agar";"200";"CHOC220920-01";"2020-09-25";"Plate";"";""
"Siem Reap";"Mueller Hinton II Agar ";"200";"MHII210920-01";"2020-09-25";"Plate";"";""
"Siem Reap";"MacConkey Agar";"200";"MAC100920-01";"2020-09-25";"Plate";"";""
"National Pediatric Hospital";"Blood Culture Bottle (child)";"300";"BHI P230920-01";"2020-10-01";"Child Bottle";"";""
"Amatak Laboratory";"Blood Culture Bottle (child)";"40";"BHI P230920-01";"2020-10-01";"Child Bottle";"";""
"US NAMRU-2";"Blood Agar";"200";"BAP240920-01";"2020-10-02";"Plate";"";""
"US NAMRU-2";"MacConkey Agar";"100";"MAC100920-01";"2020-10-02";"Plate";"";""
"Kossamak";"Blood Culture Bottle (adult)";"100";"BHI A250920-01";"2020-10-02";"Adult Bottle";"";""
"Kossamak";"Blood Agar";"300";"BAP230920-01";"2020-10-02";"Plate";"";""
"Kossamak";"Mueller Hinton II Agar ";"200";"MHII280920-01";"2020-10-02";"Plate";"";""
"Kossamak";"Mannitol Salt Agar";"60";"MSA230920-01";"2020-10-02";"Plate";"";""
"Kossamak";"Chocolate Agar";"60";"CHOC220920-01";"2020-10-02";"Plate";"";""
"Kossamak";"Kligler Iron Agar";"60";"KIA070920-01";"2020-10-02";"Tube";"";""
"Kossamak";"Lysine Iron Agar";"60";"LIA250820-01";"2020-10-02";"Tube";"";""
"Kossamak";"Sulfide Indole Motility Medium";"60";"SIM300720-01";"2020-10-02";"Tube";"";""
"Kossamak";"Urea Agar";"60";"URE210920-01";"2020-10-02";"Tube";"";""
"Kossamak";"Simmons Citrate Agar ";"60";"CIT270820-01";"2020-10-02";"Tube";"";""
"Pro Laboratory";"Blood Agar";"10";"BAP230920-01";"2020-10-02";"Plate";"";""
"Pro Laboratory";"MacConkey Agar";"10";"MAC100920-01";"2020-10-02";"Plate";"";""
"Pro Laboratory";"Mueller Hinton II Agar ";"10";"MHII280920-01";"2020-10-02";"Plate";"";""
"BOM";"Blood Agar";"50";"BAP240920-01";"2020-10-02";"Plate";"";""
"BOM";"Chocolate Agar";"30";"CHOC220920-01";"2020-10-02";"Plate";"";""
"BOM";"Mueller Hinton II Agar ";"10";"MHII280920-01";"2020-10-02";"Plate";"";""
"BOM";"MacConkey Agar";"30";"MAC100920-01";"2020-10-02";"Plate";"";""
"BOM";"Ashdown's Agar";"20";"ASHA290920-01";"2020-10-02";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Blood Culture Bottle (adult)";"100";"BHI A250920-01";"2020-10-02";"Adult Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Culture Bottle (child)";"20";"BHI P230920-01";"2020-10-02";"Child Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"20";"BAP240920-01";"2020-10-02";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Mannitol Salt Agar";"40";"MSA230920-01";"2020-10-02";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Kligler Iron Agar";"40";"KIA070920-01";"2020-10-02";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Lysine Iron Agar";"40";"LIA250820-01";"2020-10-02";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Sulfide Indole Motility Medium";"40";"SIM090920-01";"2020-10-02";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Simmons Citrate Agar ";"40";"CIT270820-01";"2020-10-02";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"40";"URE210920-01";"2020-10-02";"Tube";"";""
"NHealth Laboratory ";"Blood Agar";"10";"BAP240920-01";"2020-10-02";"Plate";"";""
"NHealth Laboratory ";"Chocolate Agar";"130";"CHOC290920-01";"2020-10-02";"Plate";"";""
"NHealth Laboratory ";"Mueller Hinton II Agar ";"30";"MHII290920-01";"2020-10-02";"Plate";"";""
"NHealth Laboratory ";"MacConkey Agar";"10";"MAC100920-01";"2020-10-02";"Plate";"";""
"NHealth Laboratory ";"Mannitol Salt Agar";"20";"MSA230920-01";"2020-10-02";"Plate";"";""
"NHealth Laboratory ";"Hektoen Enteric Agar";"20";"HE260820-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Culture Bottle (adult)";"10";"BHI A150920-02";"2020-10-02";"Adult Bottle";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Culture Bottle (child)";"10";"BHI P230920-01";"2020-10-02";"Child Bottle";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Agar";"20";"BAP240920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Chocolate Agar";"30";"CHOC220920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Chocolate Agar";"70";"CHOC290920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Mueller Hinton II Agar ";"100";"MHII280920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"MacConkey Agar";"10";"MAC100920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Sheep Blood Mueller-Hinton Agar";"30";"SMH250920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Mannitol Salt Agar";"20";"MSA230920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Hektoen Enteric Agar";"30";"HE260820-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Ashdown's Agar";"10";"ASHA290920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"10";"TCBS260820-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Kligler Iron Agar";"50";"KIA110820-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Kligler Iron Agar";"50";"KIA070920-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Lysine Iron Agar";"100";"LIA250820-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Sulfide Indole Motility Medium";"100";"SIM090920-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Simmons Citrate Agar ";"100";"CIT270820-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Urea Agar";"20";"URE270820-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Urea Agar";"80";"URE210920-01";"2020-10-02";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Cystine Lactose Electrolyte Deficient Agar";"70";"CLED010920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Cystine Lactose Electrolyte Deficient Agar";"30";"CLED280920-01";"2020-10-02";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Trypticase Soy Broth ";"100";"TSB300420-01";"2020-10-02";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Mueller Hinton II Agar ";"200";"MHII290920-01";"2020-10-02";"Plate";"";""
"Biobykin";"Blood Culture Bottle (adult)";"16";"BHI A150920-02";"2020-10-08";"Adult Bottle";"";""
"Biobykin";"Blood Culture Bottle (adult)";"4";"BHI A250920-01";"2020-10-08";"Adult Bottle";"";""
"Biobykin";"Chocolate Agar";"30";"CHOC290920-01";"2020-10-08";"Plate";"";""
"Biobykin";"Mueller Hinton II Agar ";"60";"MHII290920-01";"2020-10-08";"Plate";"";""
"Biobykin";"Kligler Iron Agar";"10";"KIA070920-01";"2020-10-08";"Tube";"";""
"Biobykin";"Lysine Iron Agar";"10";"LIA250820-01";"2020-10-08";"Tube";"";""
"Biobykin";"Sulfide Indole Motility Medium";"10";"SIM090920-01";"2020-10-08";"Tube";"";""
"Biobykin";"Simmons Citrate Agar ";"10";"CIT270820-01";"2020-10-08";"Tube";"";""
"Biobykin";"Urea Agar";"10";"URE210920-01";"2020-10-08";"Tube";"";""
"Central Laboratory";"MacConkey Agar";"30";"MAC100920-01";"2020-10-05";"Plate";"";""
"Central Laboratory";"Mueller Hinton II Agar ";"20";"MHII290920-01";"2020-10-05";"Plate";"";""
"Central Laboratory";"Chocolate Agar";"10";"CHOC220920-01";"2020-10-05";"Plate";"";""
"Central Laboratory";"Blood Agar";"10";"BAP240920-01";"2020-10-05";"Plate";"";""
"NHealth Laboratory ";"Blood Agar";"100";"BAP300920-01";"2020-10-07";"Plate";"";""
"NHealth Laboratory ";"MacConkey Agar";"100";"MAC011020-01";"2020-10-07";"Plate";"";""
"NHealth Laboratory ";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"20";"TCBS011020-01";"2020-10-07";"Plate";"";""
"Biobykin";"Blood Agar";"40";"BAP300920-01";"2020-10-08";"Plate";"";""
"Biobykin";"MacConkey Agar";"30";"MAC011020-01";"2020-10-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"100";"BAP300920-01";"2020-10-08";"Plate";"";""
"Khmer Soviet Friendship Hospital";"MacConkey Agar";"100";"MAC011020-01";"2020-10-08";"Plate";"";""
"BOM";"Blood Agar";"30";"BAP300920-01";"2020-10-08";"Plate";"";""
"BOM";"MacConkey Agar";"50";"MAC011020-01";"2020-10-08";"Plate";"";""
"Takeo";"Blood Culture Bottle (child)";"72";"BHI P230920-01";"2020-10-08";"Child Bottle";"";""
"Takeo";"Blood Culture Bottle (child)";"28";"BHI P250920-01";"2020-10-08";"Child Bottle";"";""
"Takeo";"Blood Agar";"40";"BAP300920-01";"2020-10-08";"Plate";"";""
"Takeo";"Blood Agar";"40";"BAP011020-01";"2020-10-08";"Plate";"";""
"Takeo";"Chocolate Agar";"100";"CHOC290920-01";"2020-10-08";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"10";"MHII280920-01";"2020-10-08";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"70";"MHII051020-01";"2020-10-08";"Plate";"";""
"Takeo";"MacConkey Agar";"100";"MAC011020-01";"2020-10-08";"Plate";"";""
"Takeo";"Sheep Blood Mueller-Hinton Agar";"30";"SMH250920-01";"2020-10-08";"Plate";"";""
"Takeo";"Mannitol Salt Agar";"100";"MSA230920-01";"2020-10-08";"Plate";"";""
"Takeo";"Hektoen Enteric Agar";"20";"HE030920-01";"2020-10-08";"Plate";"";""
"Takeo";"Ashdown's Agar";"30";"ASHA290920-01";"2020-10-08";"Plate";"";""
"Takeo";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"10";"TCBS011020-01";"2020-10-08";"Plate";"";""
"Takeo";"Lysine Iron Agar";"20";"LIA250820-01";"2020-10-08";"Tube";"";""
"Takeo";"Sulfide Indole Motility Medium";"20";"SIM090920-01";"2020-10-08";"Tube";"";""
"Takeo";"Simmons Citrate Agar ";"20";"CIT270820-01";"2020-10-08";"Tube";"";""
"Takeo";"Urea Agar";"10";"URE210920-01";"2020-10-08";"Tube";"";""
"Takeo";"Trypticase Soy Agar ";"50";"TSA290620-01";"2020-10-08";"Tube";"";""
"Siem Reap";"Blood Agar";"150";"BAP011020-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Chocolate Agar";"290";"CHOC300920-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Chocolate Agar";"10";"CHOC290920-01";"2020-10-08";"Plate";"";""
"Siem Reap";"MacConkey Agar";"20";"MAC011020-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Sheep Blood Mueller-Hinton Agar";"40";"SMH250920-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Mannitol Salt Agar";"30";"MSA230920-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Hektoen Enteric Agar";"10";"HE030920-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Ashdown's Agar";"10";"ASHA290920-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"10";"TCBS011020-01";"2020-10-08";"Plate";"";""
"Siem Reap";"Kligler Iron Agar";"30";"KIA070920-01";"2020-10-08";"Tube";"";""
"Siem Reap";"Lysine Iron Agar";"30";"LIA250820-01";"2020-10-08";"Tube";"";""
"Siem Reap";"Sulfide Indole Motility Medium";"30";"SIM090920-01";"2020-10-08";"Tube";"";""
"Siem Reap";"Simmons Citrate Agar ";"30";"CIT270820-01";"2020-10-08";"Tube";"";""
"Siem Reap";"Urea Agar";"80";"URE210920-01";"2020-10-08";"Tube";"";""
"Siem Reap";"Trypticase Soy Agar ";"50";"TSA290620-01";"2020-10-08";"Tube";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Agar";"70";"BAP011020-01";"2020-10-08";"Plate";"";""
"Sunrise Hospital";"Blood Agar";"50";"BAP011020-01";"2020-10-12";"Plate";"";""
"Sunrise Hospital";"Mueller Hinton II Agar ";"50";"MHII290920-01";"2020-10-12";"Plate";"";""
"Sunrise Hospital";"MacConkey Agar";"20";"MAC011020-01";"2020-10-12";"Plate";"";""
"Sunrise Hospital";"Chocolate Agar";"20";"CHOC300920-01";"2020-10-12";"Plate";"";""
"Sunrise Hospital";"Hektoen Enteric Agar";"10";"HE051020-01";"2020-10-12";"Plate";"";""
"Sihanouk Hospital Center of Hope";"Mueller Hinton II Agar ";"300";"MHII051020-01";"2020-10-09";"Plate";"";""
"International Standard lab";"Urea Agar";"50";"URE051020-01";"2020-10-13";"Tube";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"150";"BHI A021020-01";"2020-10-14";"Adult Bottle";"";""
"Siem Reap";"Blood Culture Bottle (child)";"20";"BHI P250920-01";"2020-10-14";"Child Bottle";"";""
"Siem Reap";"Blood Agar";"100";"BAP061020-01";"2020-10-14";"Plate";"";""
"Siem Reap";"Mueller Hinton II Agar ";"110";"MHII071020-01";"2020-10-14";"Plate";"";""
"Siem Reap";"MacConkey Agar";"50";"MAC061020-01";"2020-10-14";"Plate";"";""
"Battambang";"Blood Culture Bottle (adult)";"22";"BHI A250920-01";"2020-10-14";"Adult Bottle";"";""
"Battambang";"Blood Culture Bottle (child)";"200";"BHI P250920-01";"2020-10-14";"Child Bottle";"";""
"Battambang";"Blood Agar";"100";"BAP061020-01";"2020-10-14";"Plate";"";""
"Battambang";"Chocolate Agar";"30";"CHOC300920-01";"2020-10-14";"Plate";"";""
"Battambang";"Chocolate Agar";"70";"CHOC061020-01";"2020-10-14";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"100";"MHII071020-01";"2020-10-14";"Plate";"";""
"Battambang";"MacConkey Agar";"110";"MAC061020-01";"2020-10-14";"Plate";"";""
"Battambang";"Sheep Blood Mueller-Hinton Agar";"20";"SMH250920-01";"2020-10-14";"Plate";"";""
"Battambang";"Mannitol Salt Agar";"40";"MSA071020-01";"2020-10-14";"Plate";"";""
"Battambang";"Hektoen Enteric Agar";"50";"HE051020-01";"2020-10-14";"Plate";"";""
"Battambang";"Lysine Iron Agar";"20";"LIA250820-01";"2020-10-14";"Tube";"";""
"Battambang";"Sulfide Indole Motility Medium";"90";"SIM090920-01";"2020-10-14";"Tube";"";""
"Battambang";"Simmons Citrate Agar ";"70";"CIT270820-01";"2020-10-14";"Tube";"";""
"Battambang";"Simmons Citrate Agar ";"20";"CIT061020-01";"2020-10-14";"Tube";"";""
"Battambang";"Urea Agar";"10";"URE210920-01";"2020-10-14";"Tube";"";""
"Battambang";"Urea Agar";"80";"URE051020-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Blood Culture Bottle (adult)";"43";"BHI A021020-01";"2020-10-14";"Adult Bottle";"";""
"Kampong Cham";"Blood Culture Bottle (child)";"200";"BHI P250920-01";"2020-10-14";"Child Bottle";"";""
"Kampong Cham";"Blood Agar";"100";"BAP061020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Chocolate Agar";"100";"CHOC061020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Mueller Hinton II Agar ";"50";"MHII071020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"MacConkey Agar";"40";"MAC061020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Mannitol Salt Agar";"60";"MSA071020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Hektoen Enteric Agar";"20";"HE051020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Ashdown's Agar";"20";"ASHA290920-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"20";"TCBS011020-01";"2020-10-14";"Plate";"";""
"Kampong Cham";"Kligler Iron Agar";"40";"KIA070920-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Lysine Iron Agar";"40";"LIA210920-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Sulfide Indole Motility Medium";"40";"SIM090920-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Simmons Citrate Agar ";"40";"CIT061020-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Urea Agar";"40";"URE051020-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Trypticase Soy Agar ";"17";"TSA290620-01";"2020-10-14";"Tube";"";""
"Kampong Cham";"Trypticase Soy Broth + 20% glycerol";"20";"TSBG030820-01";"2020-10-14";"Tube";"";""
"Battambang";"Blood Culture Bottle (adult)";"28";"BHI A021020-01";"2020-10-14";"Adult Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"80";"BAP121020-01";"2020-10-16";"Plate";"";""
"Khmer Soviet Friendship Hospital";"MacConkey Agar";"50";"MAC061020-01";"2020-10-16";"Plate";"";""
"Takeo";"Blood Agar";"100";"BAP121020-01";"2020-10-16";"Plate";"";""
"Takeo";"Chocolate Agar";"160";"CHOC081020-01";"2020-10-16";"Plate";"";""
"Takeo";"Chocolate Agar";"40";"CHOC061020-01";"2020-10-16";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"100";"MHII071020-01";"2020-10-16";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"20";"MHII131020-01";"2020-10-16";"Plate";"";""
"Takeo";"Mannitol Salt Agar";"10";"MSA071020-01";"2020-10-16";"Plate";"";""
"NHealth Laboratory ";"Blood Agar";"80";"BAP121020-01";"2020-10-16";"Plate";"";""
"NHealth Laboratory ";"MacConkey Agar";"60";"MAC061020-01";"2020-10-16";"Plate";"";""
"NHealth Laboratory ";"Mueller Hinton II Agar ";"20";"MHII131020-01";"2020-10-16";"Plate";"";""
"Kossamak";"Blood Agar";"20";"BAP121020-01";"2020-10-19";"Plate";"";""
"Kossamak";"Mueller Hinton II Agar ";"30";"MHII131020-01";"2020-10-19";"Plate";"";""
"Kossamak";"MacConkey Agar";"40";"MAC061020-01";"2020-10-19";"Plate";"";""
"Kossamak";"Mannitol Salt Agar";"60";"MSA071020-01";"2020-10-19";"Plate";"";""
"Kossamak";"Chocolate Agar";"60";"CHOC081020-01";"2020-10-19";"Plate";"";""
"Kossamak";"Kligler Iron Agar";"60";"KIA070920-01";"2020-10-19";"Tube";"";""
"Kossamak";"Lysine Iron Agar";"60";"LIA210920-01";"2020-10-19";"Tube";"";""
"Kossamak";"Sulfide Indole Motility Medium";"60";"SIM090920-01";"2020-10-19";"Tube";"";""
"Kossamak";"Urea Agar";"60";"URE051020-01";"2020-10-19";"Tube";"";""
"Kossamak";"Simmons Citrate Agar ";"60";"CIT061020-01";"2020-10-19";"Tube";"";""
"Pro Laboratory";"Blood Agar";"20";"BAP121020-01";"2020-10-19";"Plate";"";""
"Pro Laboratory";"Mueller Hinton II Agar ";"20";"MHII131020-01";"2020-10-19";"Plate";"";""
"Pro Laboratory";"MacConkey Agar";"20";"MAC061020-01";"2020-10-19";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"100";"BAP191020-01";"2020-10-22";"Plate";"";""
"Khmer Soviet Friendship Hospital";"MacConkey Agar";"150";"MAC191020-01";"2020-10-22";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Chocolate Agar";"20";"CHOC081020-01";"2020-10-22";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Chocolate Agar";"10";"CHOC131020-01";"2020-10-22";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Mueller Hinton II Agar ";"60";"MHII131020-01";"2020-10-22";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Mannitol Salt Agar";"80";"MSA071020-01";"2020-10-22";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Kligler Iron Agar";"30";"KIA070920-01";"2020-10-22";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Kligler Iron Agar";"10";"KIA280920-02";"2020-10-22";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Lysine Iron Agar";"40";"LIA210920-01";"2020-10-22";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Sulfide Indole Motility Medium";"40";"SIM071020-01";"2020-10-22";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Simmons Citrate Agar ";"40";"CIT061020-01";"2020-10-22";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"40";"URE051020-01";"2020-10-22";"Tube";"";""
"US NAMRU-2";"Blood Agar";"100";"BAP131020-01";"2020-10-22";"Plate";"";""
"US NAMRU-2";"Chocolate Agar";"100";"CHOC081020-01";"2020-10-22";"Plate";"";""
"US NAMRU-2";"Mueller Hinton II Agar ";"200";"MHII131020-01";"2020-10-22";"Plate";"";""
"US NAMRU-2";"MacConkey Agar";"100";"MAC191020-01";"2020-10-22";"Plate";"";""
"US NAMRU-2";"Hektoen Enteric Agar";"20";"HE121020-01";"2020-10-22";"Plate";"";""
"US NAMRU-2";"Lysine Iron Agar";"50";"LIA210920-01";"2020-10-22";"Tube";"";""
"US NAMRU-2";"Sulfide Indole Motility Medium";"50";"SIM090920-01";"2020-10-22";"Tube";"";""
"US NAMRU-2";"Simmons Citrate Agar ";"50";"CIT061020-01";"2020-10-22";"Tube";"";""
"US NAMRU-2";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"20";"TCBS011020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"Blood Agar";"40";"BAP131020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"Blood Agar";"40";"BAP191020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"MacConkey Agar";"60";"MAC191020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"Chocolate Agar";"100";"CHOC131020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"MacConkey Agar";"40";"MAC061020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"Mannitol Salt Agar";"20";"MSA071020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"Hektoen Enteric Agar";"10";"HE121020-01";"2020-10-22";"Plate";"";""
"NHealth Laboratory ";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"10";"TCBS141020-01";"2020-10-22";"Plate";"";""
"Kampong Cham";"Blood Culture Bottle (adult)";"57";"BHI A091020-02";"2020-10-23";"Adult Bottle";"";""
"Kampong Cham";"Blood Agar";"10";"BAP061020-01";"2020-10-23";"Plate";"";""
"Kampong Cham";"Blood Agar";"160";"BAP191020-01";"2020-10-23";"Plate";"";""
"Kampong Cham";"Chocolate Agar";"150";"CHOC131020-01";"2020-10-23";"Plate";"";""
"Kampong Cham";"Mueller Hinton II Agar ";"150";"MHII201020-01";"2020-10-23";"Plate";"";""
"Kampong Cham";"MacConkey Agar";"40";"MAC191020-01";"2020-10-23";"Plate";"";""
"Kampong Cham";"Sheep Blood Mueller-Hinton Agar";"60";"SMH121020-01";"2020-10-23";"Plate";"";""
"Kampong Cham";"Trypticase Soy Agar ";"23";"TSA081020-01";"2020-10-23";"Tube";"";""
"Pro Laboratory";"Blood Agar";"20";"BAP201020-01";"2020-10-23";"Plate";"";""
"Sunrise Hospital";"MacConkey Agar";"20";"MAC191020-01";"2020-10-23";"Plate";"";""
"National Pediatric Hospital";"Blood Culture Bottle (child)";"300";"BHI P161020-01";"2020-10-26";"Child Bottle";"";""
"Battambang";"Blood Agar";"150";"BAP201020-01";"2020-10-26";"Plate";"";""
"Battambang";"Chocolate Agar";"80";"CHOC131020-01";"2020-10-26";"Plate";"";""
"Battambang";"Chocolate Agar";"10";"CHOC201020-01";"2020-10-26";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"210";"MHII201020-01";"2020-10-26";"Plate";"";""
"Battambang";"Mueller Hinton II Agar ";"10";"MHII211020-01";"2020-10-26";"Plate";"";""
"Battambang";"Sheep Blood Mueller-Hinton Agar";"80";"SMH121020-01";"2020-10-26";"Plate";"";""
"Battambang";"Hektoen Enteric Agar";"30";"HE121020-01";"2020-10-26";"Plate";"";""
"Takeo";"Blood Culture Bottle (adult)";"169";"BHI A091020-02";"2020-10-27";"Adult Bottle";"";""
"Takeo";"Blood Agar";"150";"BAP201020-01";"2020-10-27";"Plate";"";""
"Takeo";"Chocolate Agar";"200";"CHOC201020-01";"2020-10-27";"Plate";"";""
"Takeo";"MacConkey Agar";"30";"MAC191020-01";"2020-10-27";"Plate";"";""
"Siem Reap";"Blood Culture Bottle (adult)";"200";"BHI A091020-01";"2020-10-27";"Adult Bottle";"";""
"Siem Reap";"Blood Agar";"100";"BAP211020-01";"2020-10-27";"Plate";"";""
"Siem Reap";"Chocolate Agar";"110";"CHOC201020-01";"2020-10-27";"Plate";"";""
"Siem Reap";"Chocolate Agar";"90";"CHOC211020-01";"2020-10-27";"Plate";"";""
"Siem Reap";"Mueller Hinton II Agar ";"200";"MHII211020-01";"2020-10-27";"Plate";"";""
"Siem Reap";"Chocolate Agar";"100";"CHOC061020-01";"2020-10-27";"Plate";"";""
"National Public Health Laboratory Microbiology Unit";"Blood Agar";"80";"BAP211020-01";"2020-10-28";"Plate";"";""
